扁霖斥岿,堡开瘤磊眉,吝盒幅,,瘤免咀,傈斥档 瘤免咀
201903,面没合档,坊磐墨,3004,250.0,538.0
201903,面没合档,搁技痢,4001,3028.0,2702.0
201903,面没合档,包堡扁充前,4002,118.0,512.0
201903,面没合档,饭历侩前碱俏,4003,15041.0,11909.0
201903,面没合档,措屈碱俏隔,4004,208302.0,214335.0
201903,面没合档,墨瘤畴,5001,0.0,0.0
201903,面没合档,包堡蜡盔矫汲,5002,40.0,124.0
201903,面没合档,榜橇厘,5003,12851.0,21872.0
201903,面没合档,胶虐厘,5004,0.0,0.0
201903,面没合档,扁鸥饭历,5005,0.0,244.0
201903,面没合档,巩拳辑厚胶,5006,346.0,95.0
201903,面没合档,侥澜丰,6001,260150.0,242350.0
201904,面没合档,包堡醚家厚,0000,1210249.0,926042.0
201904,面没合档,龋炮,1001,68295.0,122994.0
201904,面没合档,能档,1002,93.0,189.0
201904,面没合档,姆俏厘/奇记,1003,778.0,81.0
201904,面没合档,扁鸥槛冠,1004,602849.0,338084.0
201904,面没合档,咯青诀,2001,0.0,0.0
201904,面没合档,腊惑款价,3001,97.0,0.0
201904,面没合档,荐惑款价,3002,0.0,0.0
201904,面没合档,亲傍款价,3003,0.0,0.0
201904,面没合档,坊磐墨,3004,272.0,277.0
201904,面没合档,搁技痢,4001,4370.0,5771.0
201904,面没合档,包堡扁充前,4002,300.0,645.0
201904,面没合档,饭历侩前碱俏,4003,25165.0,17625.0
201904,面没合档,措屈碱俏隔,4004,217670.0,216090.0
201904,面没合档,墨瘤畴,5001,0.0,0.0
201904,面没合档,包堡蜡盔矫汲,5002,207.0,74.0
201904,面没合档,榜橇厘,5003,22050.0,13657.0
201904,面没合档,胶虐厘,5004,0.0,0.0
201904,面没合档,扁鸥饭历,5005,16.0,132.0
201904,面没合档,巩拳辑厚胶,5006,459.0,228.0
201904,面没合档,侥澜丰,6001,267628.0,210195.0
201905,面没合档,包堡醚家厚,0000,1178593.0,1117026.0
201905,面没合档,龋炮,1001,80807.0,140659.0
201905,面没合档,能档,1002,48.0,163.0
201905,面没合档,姆俏厘/奇记,1003,0.0,0.0
201905,面没合档,扁鸥槛冠,1004,485434.0,411334.0
201905,面没合档,咯青诀,2001,0.0,1907.0
201905,面没合档,腊惑款价,3001,8.0,22.0
201905,面没合档,荐惑款价,3002,16.0,39.0
201905,面没合档,亲傍款价,3003,0.0,0.0
201905,面没合档,坊磐墨,3004,1188.0,819.0
201905,面没合档,搁技痢,4001,5921.0,18591.0
201905,面没合档,包堡扁充前,4002,606.0,128.0
201905,面没合档,饭历侩前碱俏,4003,29097.0,27932.0
201905,面没合档,措屈碱俏隔,4004,252720.0,230283.0
201905,面没合档,墨瘤畴,5001,0.0,0.0
201905,面没合档,包堡蜡盔矫汲,5002,215.0,280.0
201905,面没合档,榜橇厘,5003,43353.0,34096.0
201905,面没合档,胶虐厘,5004,0.0,0.0
201905,面没合档,扁鸥饭历,5005,0.0,0.0
201905,面没合档,巩拳辑厚胶,5006,186.0,397.0
201905,面没合档,侥澜丰,6001,278995.0,250375.0
201906,面没合档,包堡醚家厚,0000,1080305.0,993781.0
201906,面没合档,龋炮,1001,71931.0,110604.0
201906,面没合档,能档,1002,504.0,0.0
201906,面没合档,姆俏厘/奇记,1003,90.0,0.0
201906,面没合档,扁鸥槛冠,1004,435912.0,391290.0
201906,面没合档,咯青诀,2001,0.0,0.0
201906,面没合档,腊惑款价,3001,0.0,44.0
201906,面没合档,荐惑款价,3002,10.0,0.0
201906,面没合档,亲傍款价,3003,0.0,0.0
201906,面没合档,坊磐墨,3004,2959.0,695.0
201906,面没合档,搁技痢,4001,2625.0,5035.0
201906,面没合档,包堡扁充前,4002,163.0,0.0
201906,面没合档,饭历侩前碱俏,4003,51089.0,19418.0
201906,面没合档,措屈碱俏隔,4004,231248.0,213232.0
201906,面没合档,墨瘤畴,5001,0.0,0.0
201906,面没合档,包堡蜡盔矫汲,5002,391.0,209.0
201906,面没合档,榜橇厘,5003,29187.0,24961.0
201906,面没合档,胶虐厘,5004,0.0,0.0
201906,面没合档,扁鸥饭历,5005,48.0,55.0
201906,面没合档,巩拳辑厚胶,5006,683.0,162.0
201906,面没合档,侥澜丰,6001,253464.0,228077.0
201907,面没合档,包堡醚家厚,0000,1124741.0,1155804.0
201907,面没合档,龋炮,1001,95719.0,109117.0
201907,面没合档,能档,1002,158.0,0.0
201907,面没合档,姆俏厘/奇记,1003,335.0,7.0
201907,面没合档,扁鸥槛冠,1004,424911.0,508017.0
201907,面没合档,咯青诀,2001,0.0,1929.0
201907,面没合档,腊惑款价,3001,0.0,2673.0
201907,面没合档,荐惑款价,3002,24.0,20.0
201907,面没合档,亲傍款价,3003,0.0,0.0
201907,面没合档,坊磐墨,3004,2809.0,967.0
201907,面没合档,搁技痢,4001,2111.0,11798.0
201907,面没合档,包堡扁充前,4002,250.0,30.0
201907,面没合档,饭历侩前碱俏,4003,129352.0,16567.0
201907,面没合档,措屈碱俏隔,4004,194761.0,242075.0
201907,面没合档,墨瘤畴,5001,0.0,0.0
201907,面没合档,包堡蜡盔矫汲,5002,258.0,261.0
201907,面没合档,榜橇厘,5003,14599.0,35023.0
201907,面没合档,胶虐厘,5004,0.0,0.0
201907,面没合档,扁鸥饭历,5005,82.0,199.0
201907,面没合档,巩拳辑厚胶,5006,1142.0,190.0
201907,面没合档,侥澜丰,6001,258230.0,226931.0
201908,面没合档,包堡醚家厚,0000,913130.0,1016728.0
201908,面没合档,龋炮,1001,75164.0,73862.0
201908,面没合档,能档,1002,11.0,5.0
201908,面没合档,姆俏厘/奇记,1003,120.0,6.0
201908,面没合档,扁鸥槛冠,1004,373806.0,495805.0
201908,面没合档,咯青诀,2001,0.0,0.0
201908,面没合档,腊惑款价,3001,0.0,500.0
201908,面没合档,荐惑款价,3002,0.0,0.0
201908,面没合档,亲傍款价,3003,0.0,0.0
201908,面没合档,坊磐墨,3004,2150.0,1070.0
201908,面没合档,搁技痢,4001,2639.0,7953.0
201908,面没合档,包堡扁充前,4002,114.0,0.0
201908,面没合档,饭历侩前碱俏,4003,10836.0,13929.0
201908,面没合档,措屈碱俏隔,4004,214107.0,188973.0
201908,面没合档,墨瘤畴,5001,0.0,0.0
201908,面没合档,包堡蜡盔矫汲,5002,238.0,148.0
201908,面没合档,榜橇厘,5003,21582.0,9278.0
201908,面没合档,胶虐厘,5004,0.0,0.0
201908,面没合档,扁鸥饭历,5005,11.0,143.0
201908,面没合档,巩拳辑厚胶,5006,478.0,406.0
201908,面没合档,侥澜丰,6001,211875.0,224652.0
201909,面没合档,包堡醚家厚,0000,959865.0,1674867.0
201909,面没合档,龋炮,1001,73059.0,135981.0
201909,面没合档,能档,1002,179.0,181.0
201909,面没合档,姆俏厘/奇记,1003,24.0,136.0
201909,面没合档,扁鸥槛冠,1004,363340.0,901559.0
201909,面没合档,咯青诀,2001,0.0,0.0
201909,面没合档,腊惑款价,3001,0.0,6836.0
201909,面没合档,荐惑款价,3002,20.0,81.0
201909,面没合档,亲傍款价,3003,0.0,0.0
201909,面没合档,坊磐墨,3004,3047.0,5453.0
201909,面没合档,搁技痢,4001,556.0,2186.0
201909,面没合档,包堡扁充前,4002,84.0,125.0
201909,面没合档,饭历侩前碱俏,4003,23386.0,26469.0
201909,面没合档,措屈碱俏隔,4004,254080.0,271723.0
201909,面没合档,墨瘤畴,5001,0.0,0.0
201909,面没合档,包堡蜡盔矫汲,5002,489.0,311.0
201909,面没合档,榜橇厘,5003,18773.0,22343.0
201909,面没合档,胶虐厘,5004,0.0,0.0
201909,面没合档,扁鸥饭历,5005,8.0,998.0
201909,面没合档,巩拳辑厚胶,5006,449.0,264.0
201909,面没合档,侥澜丰,6001,222372.0,300223.0
201910,面没合档,包堡醚家厚,0000,1157394.0,1779588.0
201910,面没合档,龋炮,1001,76624.0,172017.0
201910,面没合档,能档,1002,302.0,73.0
201910,面没合档,姆俏厘/奇记,1003,54.0,40.0
201910,面没合档,扁鸥槛冠,1004,460344.0,698093.0
201910,面没合档,咯青诀,2001,0.0,5388.0
201910,面没合档,腊惑款价,3001,0.0,6789.0
201910,面没合档,荐惑款价,3002,20.0,20.0
201910,面没合档,亲傍款价,3003,0.0,0.0
201910,面没合档,坊磐墨,3004,1385.0,1840.0
201910,面没合档,搁技痢,4001,4394.0,2445.0
201910,面没合档,包堡扁充前,4002,494.0,168.0
201910,面没合档,饭历侩前碱俏,4003,31960.0,29841.0
201910,面没合档,措屈碱俏隔,4004,240567.0,542109.0
201910,面没合档,墨瘤畴,5001,0.0,0.0
201910,面没合档,包堡蜡盔矫汲,5002,798.0,240.0
201910,面没合档,榜橇厘,5003,36267.0,41681.0
201910,面没合档,胶虐厘,5004,0.0,0.0
201910,面没合档,扁鸥饭历,5005,8.0,0.0
201910,面没合档,巩拳辑厚胶,5006,714.0,473.0
201910,面没合档,侥澜丰,6001,303462.0,278371.0
201911,面没合档,包堡醚家厚,0000,1127067.0,1371439.0
201911,面没合档,龋炮,1001,56337.0,115993.0
201911,面没合档,能档,1002,0.0,0.0
201911,面没合档,姆俏厘/奇记,1003,0.0,51.0
201911,面没合档,扁鸥槛冠,1004,493525.0,654850.0
201911,面没合档,咯青诀,2001,0.0,0.0
201911,面没合档,腊惑款价,3001,0.0,0.0
201911,面没合档,荐惑款价,3002,2.0,340.0
201911,面没合档,亲傍款价,3003,0.0,0.0
201911,面没合档,坊磐墨,3004,535.0,9337.0
201911,面没合档,搁技痢,4001,4893.0,2036.0
201911,面没合档,包堡扁充前,4002,771.0,42.0
201911,面没合档,饭历侩前碱俏,4003,19147.0,22687.0
201911,面没合档,措屈碱俏隔,4004,244605.0,239489.0
201911,面没合档,墨瘤畴,5001,0.0,0.0
201911,面没合档,包堡蜡盔矫汲,5002,148.0,152.0
201911,面没合档,榜橇厘,5003,20314.0,19572.0
201911,面没合档,胶虐厘,5004,0.0,0.0
201911,面没合档,扁鸥饭历,5005,41.0,148.0
201911,面没合档,巩拳辑厚胶,5006,309.0,141.0
201911,面没合档,侥澜丰,6001,286441.0,306601.0
201912,面没合档,包堡醚家厚,0000,1081161.0,1264066.0
201912,面没合档,龋炮,1001,65597.0,175101.0
201912,面没合档,能档,1002,12.0,0.0
201912,面没合档,姆俏厘/奇记,1003,173.0,0.0
201912,面没合档,扁鸥槛冠,1004,447318.0,539276.0
201912,面没合档,咯青诀,2001,0.0,2363.0
201912,面没合档,腊惑款价,3001,0.0,6066.0
201912,面没合档,荐惑款价,3002,0.0,0.0
201912,面没合档,亲傍款价,3003,0.0,0.0
201912,面没合档,坊磐墨,3004,0.0,1019.0
201912,面没合档,搁技痢,4001,6079.0,6991.0
201912,面没合档,包堡扁充前,4002,80.0,356.0
201912,面没合档,饭历侩前碱俏,4003,28000.0,14494.0
201912,面没合档,措屈碱俏隔,4004,258944.0,260226.0
201912,面没合档,墨瘤畴,5001,0.0,0.0
201912,面没合档,包堡蜡盔矫汲,5002,71.0,150.0
201912,面没合档,榜橇厘,5003,5534.0,1373.0
201912,面没合档,胶虐厘,5004,0.0,0.0
201912,面没合档,扁鸥饭历,5005,0.0,78.0
201912,面没合档,巩拳辑厚胶,5006,611.0,303.0
201912,面没合档,侥澜丰,6001,268741.0,256269.0
