"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","점포구분명",
"11","대규모점포","08_25_01_P","5710000","2019571018307500002","2019-09-26","","01","영업/정상","5","영업개시전","","","","","043-000-0000","15841","","충청북도 청주시 청원구 내덕동 201번지 1호","충청북도 청주시 청원구 상당로 314 (내덕동)","28501","원더아리아","2019-09-26 09:02:37","I","2019-09-28 02:22:39","쇼핑센터","243762.803672115","350640.306254882","대규모점포",
"12","대규모점포","08_25_01_P","4210000","2019421021507500001","2019-07-11","","01","영업/정상","5","영업개시전","","","","","033-522-0630","258","","강원도 동해시 동회동 442번지 대동,현대아파트","강원도 동해시 청운1길 29 (동회동, 대동,현대아파트)","25807","노브랜드 동해남부재래시장점","2019-07-11 12:09:37","I","2019-07-13 02:21:44","구분없음","386177.814049483","444870.370953969","준대규모점포",
"13","대규모점포","08_25_01_P","3830000","2022383028807500001","2022-04-08","","01","영업/정상","5","영업개시전","","","","","02-2006-2678","214.87","","경기도 안양시 동안구 비산동 515-2 평촌자이아이파크 상가2동 부출입구 1층 101~103호","","","GS THE FRESH 안양비산점","2022-04-11 09:41:56","I","2022-04-13 00:22:33","구분없음","","","준대규모점포",
"14","대규모점포","08_25_01_P","3070000","2022307028607500002","2022-04-18","","01","영업/정상","5","영업개시전","","","","","02-2006-2678","186.6","","서울특별시 성북구 길음동 508-16","서울특별시 성북구 숭인로8길 80, 롯데캐슬클라시아 상가 101~104호 (길음동)","02730","GS THE FRESH 성북클라시아점","2022-04-18 14:16:02","I","2022-04-20 00:22:33","구분없음","202226.378526398","456194.352420546","준대규모점포",
"15","대규모점포","08_25_01_P","3230000","2023323029107500001","2023-02-01","","01","영업/정상","5","영업개시전","","","","","02-2006-2747","164.83","","서울특별시 송파구 거여동 202-180 송파시그니처롯데캐슬","서울특별시 송파구 거마로 56(거여동, 송파시그니처롯데캐슬)","05767","GS THE FRESH 송파시그니처점","2023-02-01 09:50:42","I","2023-02-03 00:41:23","구분없음","213149.522764117","443705.473072412","준대규모점포",
"16","대규모점포","08_25_01_P","3540000","2022354016107500001","2022-04-15","","01","영업/정상","5","영업개시전","","","","","02-2006-2364","210.06","","인천광역시 부평구 십정동 289-8","인천광역시 부평구 열우물로 90, 더샵부평센트럴시티 B동 1층 101~104호 (십정동)","21443","GS THE FRESH 부평열우물점","2022-04-15 13:17:31","I","2022-04-17 00:22:33","대형마트","173203.244129782","441511.67815385","준대규모점포",
"17","대규모점포","08_25_01_P","3540000","2022354016107500002","2022-04-15","","01","영업/정상","5","영업개시전","","","","","02-2006-2364","338.98","","인천광역시 부평구 십정동 289-8","인천광역시 부평구 열우물로 90, 더샵부평센트럴시티 E동 1층 101호 (십정동)","21443","GS THE FRESH 부평더샵점","2022-04-15 13:18:30","I","2022-04-17 00:22:33","대형마트","173203.244129782","441511.67815385","준대규모점포",
"18","대규모점포","08_25_01_P","3260000","1998326004907500001","1998-05-08","","01","영업/정상","5","영업개시전","","2007-08-06","2015-12-31","","051 2481673","0","","부산광역시 서구 토성동1가 25번지 1호","","","토성상가","2020-04-28 21:58:09","U","2020-04-30 02:40:00","시장","384479.160908971","179674.849130869","준대규모점포",
"19","대규모점포","08_25_01_P","4180000","2019418034907500002","2019-08-20","","01","영업/정상","5","영업개시전","","","","","033)258-8114","212","","강원도 춘천시 중앙로3가 61번지 농협중앙회강원지역본부","강원도 춘천시 중앙로 105, 농협중앙회강원지역본부 (중앙로3가)","24358","하나로마트 강원지역본부점","2023-01-17 17:51:48","U","2023-01-19 02:40:00","구분없음","263591.901797558","486256.984750418","준대규모점포",
"20","대규모점포","08_25_01_P","3530000","2019353017907500002","2019-10-10","","01","영업/정상","5","영업개시전","","","","","023809461","510","","인천광역시 남동구 만수동 1082번지 창대장터상가","인천광역시 남동구 인주대로888번길 27, 창대장터상가 1동 b01~b06호 (만수동)","21591","노브랜드인천장승백이시장점","2019-10-10 17:39:12","I","2019-10-12 00:22:47","구분없음","176533.985015893","438341.641936655","준대규모점포",
"21","대규모점포","08_25_01_P","3740000","2022374039007500001","2022-02-22","","01","영업/정상","5","영업개시전","","","","","02-2015-8524","5926.48","","경기도 수원시 권선구 서둔동 296-124","경기도 수원시 권선구 세화로134번길 31(서둔동)","16621","홈씨씨 수원점","2022-03-03 09:05:47","U","2022-03-05 02:40:00","전문점","199672.086338054","418258.297963828","대규모점포",
"22","대규모점포","08_25_01_P","4600000","2022460018607500001","2022-02-17","","01","영업/정상","5","영업개시전","","","","","","1314.88","","충청남도 홍성군 홍성읍 옥암리 1064","충청남도 홍성군 홍성읍 내포로 125","32247","이마트에브리데이 홍성중앙점","2022-02-17 16:58:34","I","2022-02-19 00:22:37","그 밖의 대규모점포","169184.703661848","343846.132796022","준대규모점포",
"23","대규모점포","08_25_01_P","5670000","2022567057407500001","2022-04-06","","01","영업/정상","5","영업개시전","","","","","","1219.7","","경상남도 창원시 진해구 경화동 1174-3 외 4필지","","","탑마트 진해경화점","2022-04-06 17:32:41","I","2022-04-08 00:22:34","그 밖의 대규모점포","353241.977997001","185120.55817638","준대규모점포",
"24","대규모점포","08_25_01_P","3160000","2022316015907500001","2022-03-18","","01","영업/정상","5","영업개시전","","","","","02-528-0450","40883.22","","서울특별시 구로구 고척동 100-7","","","고척아이파크쇼핑센터","2022-03-18 18:00:47","I","2022-03-20 00:22:35","쇼핑센터","187477.579440706","444045.294921843","대규모점포",
"25","대규모점포","08_25_01_P","5090000","2012509007907500002","2012-05-21","","01","영업/정상","5","영업개시전","","","","","054-636-9550","492.94","750-010","경상북도 영주시 영주동 549번지 4호","경상북도 영주시 구성로 350 (영주동)","","영주농협하나로마트중앙점","2022-06-27 15:51:24","U","2022-06-29 02:40:00","구분없음","344754.435402154","370337.910470637","준대규모점포",
"26","대규모점포","08_25_01_P","3530000","2007353007007500001","2007-03-21","","01","영업/정상","5","영업개시전","","","","","032 450 3903","35636","","인천광역시 남동구 구월동 1455호","인천광역시 남동구 예술로 148 (구월동)","405-792","엘리오스구월","2021-11-25 09:19:41","U","2021-11-27 02:40:00","쇼핑센터","173523.274957491","438366.029400914","대규모점포",
"27","대규모점포","08_25_01_P","3940000","2016394029807500001","2016-04-25","","01","영업/정상","5","영업개시전","","","","","070-7896-7801","129225","","경기도 고양시 덕양구 동산동 370번지","370, 동산동동","412-090","스타필드 고양","2020-02-17 16:38:24","U","2020-02-19 02:40:00","복합쇼핑몰","190645.314309928","460528.947974088","대규모점포",
"28","대규모점포","08_25_01_P","3940000","2016394029807500002","2016-08-26","","01","영업/정상","5","영업개시전","","","","","02-3438-9480","42599.44","","경기도 고양시 일산동구 백석동 1237번지","경기도 고양시 일산동구 강송로 33 (백석동, 일산요진와이시티)","10450","일산 벨라씨타(Bella Citta)","2020-02-17 16:38:55","U","2020-02-19 02:40:00","쇼핑센터","181637.189249099","460029.013400211","대규모점포",
"29","대규모점포","08_25_01_P","3940000","2017394029807500001","2017-08-25","","01","영업/정상","5","영업개시전","","","","","","16505.82","","경기도 고양시 일산서구 대화동 1050번지 185호","경기도 고양시 일산서구 주엽로 80 (대화동)","10391","고양 일산 호수공원 가로수길","2017-08-25 17:00:37","I","2018-08-31 23:59:59","그 밖의 대규모점포","178443.772452423","462653.992741763","대규모점포",
"30","대규모점포","08_25_01_P","3780000","2016378027807500002","2016-03-21","","01","영업/정상","5","영업개시전","","","","","02-380-9396","3692","","경기도 성남시 분당구 백현동 531번지","경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지)","13530","일렉트로마트 판교점","2020-07-27 15:48:11","U","2020-07-29 02:40:00","전문점","209511.303885931","432604.40297927","대규모점포",
"31","대규모점포","08_25_01_P","5690000","2020569029207500001","2020-02-04","","01","영업/정상","5","영업개시전","","","","","044-860-8500","13324.75","","세종특별자치시 어진동 510번지 엠브릿지","세종특별자치시 도움3로 19, 외 1필지 엠브릿지 (어진동)","30116","엠브릿지","2020-02-14 16:04:15","U","2020-02-16 02:40:00","그 밖의 대규모점포","223042.626330734","333554.40787071","대규모점포",
"32","대규모점포","08_25_01_P","5540000","2012554012307500001","2012-04-13","","01","영업/정상","5","영업개시전","","","","","031-797-6514","5942.38","464-040","경기도 광주시 삼동 443번지 외 3필지(440,441,442-1)","경기도 광주시 순암로 535 (삼동)","464-040","TOP PRICE WHOLESALE","2016-10-13 10:25:14","I","2018-08-31 23:59:59","대형마트","217232.530606995","434341.475496054","대규모점포",
"33","대규모점포","08_25_01_P","3130000","2018313020107500002","2018-08-13","","01","영업/정상","5","영업개시전","","","","","02-2179-5021","9747.1","","서울특별시 마포구 동교동 190번지 1호","서울특별시 마포구 와우산로35길 50-4 (동교동)","04052","홍대복합역사 상업시설","2018-08-17 09:33:16","I","2018-08-31 23:59:59","쇼핑센터","193285.549735897","450808.571641119","대규모점포",
"34","대규모점포","08_25_01_P","5530000","2017553037107500001","2017-12-13","","01","영업/정상","5","영업개시전","","","","","031-378-5331","34780","","경기도 화성시 동탄면 방교리 779번지 3호","경기도 화성시 동탄면 동탄기흥로257번가길 19, 201호","18487","라스플로레스","2017-12-14 11:10:21","I","2020-08-05 00:23:26","복합쇼핑몰","208124.29433588","408882.959566073","대규모점포",
"35","대규모점포","08_25_01_P","5530000","2019553038907500001","2019-11-11","","01","영업/정상","5","영업개시전","","","","","1588-9707","24653.29","","경기도 화성시 송동 681번지 535호","","","레이크꼬모","2019-11-11 10:41:20","I","2020-08-05 00:23:26","그 밖의 대규모점포","","","대규모점포",
"36","대규모점포","08_25_01_P","4200000","2020420032207500001","2020-04-08","","01","영업/정상","5","영업개시전","","","","","02-380-9461","261.84","","강원도 강릉시 주문진읍 주문리 312번지 91호 주문진수산시장","강원도 강릉시 주문진읍 시장길 38, 주문진수산시장 1층","25413","노브랜드 주문진수산시장점","2020-04-10 08:50:21","I","2020-04-12 00:23:22","그 밖의 대규모점포","360718.233934395","489191.326440786","준대규모점포",
"37","대규모점포","08_25_01_P","3140000","2020314016707500002","2020-05-29","","01","영업/정상","5","영업개시전","","","","","0226433209","2734.89","","서울특별시 양천구 목동 966번지 목동에버하임","서울특별시 양천구 목동중앙북로 68 (목동, 목동에버하임)","07948","목동에버하임","2020-05-29 09:20:09","I","2020-05-31 00:23:29","그 밖의 대규모점포","188502.886822432","449377.63880433","대규모점포",
"38","대규모점포","08_25_01_P","4010000","2020401031707500001","2020-06-17","","01","영업/정상","5","영업개시전","","","","","","27134.94","","경기도 시흥시 능곡동 235-1 시흥 플랑드르","경기도 시흥시 장현능곡로 155, 시흥 플랑드르 (능곡동)","14999","시흥플랑드르","2021-10-28 14:58:31","U","2021-10-30 02:40:00","그 밖의 대규모점포","182864.742763587","429902.071373508","대규모점포",
"39","대규모점포","08_25_01_P","4640000","2021464047907500003","2021-11-29","","01","영업/정상","5","영업개시전","","","","","063-271-7001","23194.32","","전라북도 전주시 덕진구 송천동2가 488-3","전라북도 전주시 덕진구 송천중앙로 225(송천동2가)","54827","파인트리몰","2021-12-01 07:56:34","I","2021-12-02 00:22:43","그 밖의 대규모점포","210850.269806142","262991.692422289","대규모점포",
"40","대규모점포","08_25_01_P","5130000","2021513018007500001","2021-10-25","","01","영업/정상","5","영업개시전","","","","","02-380-5930","662.15","","경상북도 경산시 하양읍 양지리 262","경상북도 경산시 하양읍 서사도리4로 8","38699","(주)이마트에브리데이 경산무학점","2021-12-08 09:31:39","U","2021-12-10 02:40:00","대형마트","363181.924592778","270283.834577387","준대규모점포",
"41","대규모점포","08_25_01_P","5540000","2021554025007500001","2021-11-03","","01","영업/정상","5","영업개시전","","","","","031-767-8324","11697.53","","경기도 광주시 경안동 447","경기도 광주시 경안로41번길 6(경안동)","12760","광주 금호 리첸시아 센트럴 스퀘어","2021-12-31 13:48:40","U","2022-01-02 02:40:00","그 밖의 대규모점포","222618.188936667","434045.266636268","대규모점포",
"42","대규모점포","08_25_01_P","3060000","2021306017507500001","2021-11-25","","01","영업/정상","5","영업개시전","","","","","02-2290-5704","1150.47","","서울특별시 중랑구 신내동 646 금강리빙스텔","서울특별시 중랑구 신내로 211, 금강리빙스텔 비01호 (신내동)","02024","롯데프레시앤델리 봉화산역점","2021-11-25 15:20:00","I","2021-11-27 00:22:44","구분없음","208112.860200669","457113.638411288","준대규모점포",
"43","대규모점포","08_25_01_P","3740000","2023374039007500001","2023-02-23","","01","영업/정상","5","영업개시전","","","","","02-2006-2678","170","","경기도 수원시 팔달구 매교동 209-14","경기도 수원시 팔달구 인계로 20(매교동)","16469","GS THE FRESH 수원매교역점","2023-02-23 09:53:52","I","2023-02-25 00:41:04","구분없음","201559.53418689","418602.288236093","준대규모점포",
"44","대규모점포","08_25_01_P","3230000","2023323029107500002","2023-02-27","","01","영업/정상","5","영업개시전","","","","","02-2006-2747","444.37","","서울특별시 송파구 문정동 618 파크하비오","서울특별시 송파구 송파대로 111, 하비오길동 제1층 호텔로 202동 (문정동, 파크하비오)","05837","GS THE FRESH 송파하비오점","2023-02-27 12:31:15","I","2023-03-01 00:41:07","구분없음","210868.397496689","442053.227933005","준대규모점포",
"45","대규모점포","08_25_01_P","3510500","2023351057907500001","2023-02-27","","01","영업/정상","5","영업개시전","","","","","032-830-2512","17282.8","","인천광역시 미추홀구 학익동 580-1","인천광역시 미추홀구 독배로 230(학익동)","22205","스타오씨엘 에비뉴I","2023-02-27 09:07:03","I","2023-03-01 00:41:07","그 밖의 대규모점포","169123.759948513","437732.772860437","대규모점포",
"46","대규모점포","08_25_01_P","3260000","2018326009707500001","2018-09-11","","01","영업/정상","5","영업개시전","","","","","051-241-3006","5025.59","","부산광역시 서구 토성동1가 25번지 1호 경동 리인","부산광역시 서구 보수대로 27 (토성동1가, 경동 리인)","49247","경동타워 쇼핑","2022-01-06 10:22:05","U","2022-01-08 02:40:00","그 밖의 대규모점포","384479.160908971","179674.849130869","대규모점포",
"47","대규모점포","08_25_01_P","3230000","2020323026107500003","2020-07-24","","01","영업/정상","5","영업개시전","","","","2020-08-20","","182","","서울특별시 송파구 가락동 191-5","서울특별시 송파구 동남로20길 24 (가락동)","05783","롯데프레시송파가락가맹점","2020-09-02 17:15:35","U","2020-09-04 02:40:00","구분없음","211822.100655974","443697.739713172","준대규모점포",
"48","대규모점포","08_25_01_P","3510500","2020351057907500001","2020-08-25","","01","영업/정상","5","영업개시전","","","","","032-866-0611","20973.16","","인천광역시 미추홀구 도화동 1002 더샵 인천스카이타워 2단지","인천광역시 미추홀구 숙골로87번길 5 (도화동, 더샵 인천스카이타워 2단지)","22101","앨리웨이 인천","2021-04-08 10:53:41","U","2021-04-10 02:40:00","그 밖의 대규모점포","170160.347561945","440825.360762333","대규모점포",
"49","대규모점포","08_25_01_P","3530000","2020353017907500001","2020-07-22","","01","영업/정상","5","영업개시전","","","","","032-446-7536","3706","","인천광역시 남동구 논현동 111-168 쌍둥이네","인천광역시 남동구 장도로 86-14 (논현동)","21672","소래포구어시장","2020-07-22 16:56:46","I","2020-07-24 00:23:15","그 밖의 대규모점포","176846.365143598","432902.368426872","대규모점포",
"50","대규모점포","08_25_01_P","4640000","2021464047907500002","2021-07-19","","01","영업/정상","5","영업개시전","","","","","063-253-1115","34776.8","","전라북도 전주시 덕진구 송천동2가 1329-1 로마네시티","전라북도 전주시 덕진구 세병2길 10, 로마네시티 (송천동2가)","55149","로마네시티","2021-07-19 12:57:31","I","2021-07-21 00:22:53","그 밖의 대규모점포","211179.421253138","263662.329079759","대규모점포",
"51","대규모점포","08_25_01_P","3830000","2021383028807500002","2021-09-29","","01","영업/정상","5","영업개시전","","","","","02-2006-2364","296.15","","경기도 안양시 동안구 호계동 873 덕유파크","경기도 안양시 동안구 경수대로 428, 덕유파크 1층 101~106, 126호 (호계동)","14126","GS THE FRESH 안양호계점","2021-09-29 16:46:34","I","2021-10-01 00:22:48","구분없음","196609.75025329","428912.306681884","준대규모점포",
"52","대규모점포","08_25_01_P","3740000","2021374039007500002","2021-09-13","","01","영업/정상","5","영업개시전","","","","","02-2006-2678","189.2","","경기도 수원시 장안구 정자동 111-20 화서역 파크푸르지오","경기도 수원시 장안구 대평로 27, 107~109호 (정자동, 화서역 파크푸르지오)","16318","GS THE FRESH 수원화서점","2021-09-14 10:34:07","I","2021-09-16 00:22:48","구분없음","199460.301398641","420871.789200422","준대규모점포",
"53","대규모점포","08_25_01_P","3300000","2022330011007500003","2022-12-02","","01","영업/정상","5","영업개시전","","","","","","280.99","","부산광역시 동래구 온천동 453-9","부산광역시 동래구 온천장로 48(온천동)","47711","GS THE FRESH 부산 온천점","2023-01-06 14:13:42","U","2023-01-08 02:40:00","구분없음","389379.732040766","192728.27862739","준대규모점포",
"54","대규모점포","08_25_01_P","3300000","2022330011007500002","2022-12-02","","01","영업/정상","5","영업개시전","","","","","","308.79","","부산광역시 동래구 온천동 874-8","","","GS THE FRESH 동래래미안점","2023-02-08 17:12:09","U","2023-02-10 02:40:00","구분없음","388399.791846526","192268.193651677","준대규모점포",
"55","대규모점포","08_25_01_P","3260000","2022326010707500001","2022-12-15","","01","영업/정상","5","영업개시전","","","","","","264.4","","부산광역시 서구 암남동 123-15 송도힐스테이트이진베이시티아파트","부산광역시 서구 송도해변로 192, 판매시설동 1층 122~127호 (암남동, 송도힐스테이트이진베이시티아파트)","49264","GS THE FRESH 부산송도점","2022-12-15 15:32:23","I","2022-12-17 00:40:08","그 밖의 대규모점포","384495.066651637","177326.029548321","준대규모점포",
"56","대규모점포","08_25_01_P","3560000","2023356022207500001","2023-01-12","","01","영업/정상","5","영업개시전","","","","","02-2630-2671","13476.89","","인천광역시 서구 청라동 12-2 (투자유치용지 5-1블록)","","","코스트코 홀세일 청라점","2023-01-12 09:22:55","I","2023-01-14 00:40:31","대형마트","166063.431383773","448666.223800277","대규모점포",
"57","대규모점포","08_25_01_P","3260000","2022326010707500002","2022-12-15","","01","영업/정상","5","영업개시전","","","","","","264.4","","부산광역시 서구 암남동 123-15 송도힐스테이트이진베이시티아파트","부산광역시 서구 송도해변로 192, 판매시설동 1층 122~127호 (암남동, 송도힐스테이트이진베이시티아파트)","49264","GS THE FRESH 부산송도점","2022-12-16 10:58:36","I","2022-12-18 00:40:10","그 밖의 대규모점포","384495.066651637","177326.029548321","준대규모점포",
"58","대규모점포","08_25_01_P","5530000","2023553047907500001","2023-01-09","","01","영업/정상","5","영업개시전","","","","","","5850.02","","경기도 화성시 봉담읍 상리 691","","","이지바이 봉담","2023-01-09 13:58:45","I","2023-01-11 00:41:15","대형마트","","","대규모점포",
"59","대규모점포","08_25_01_P","3990000","2022399046507500001","2022-12-29","","01","영업/정상","5","영업개시전","","","","","","13474","","경기도 남양주시 다산동 6056","","","다산역 데시앙 상업시설","2023-02-02 13:34:34","U","2023-02-04 02:40:00","그 밖의 대규모점포","213465.986919386","458131.768703582","대규모점포",
"60","대규모점포","08_25_01_P","3310000","2022331011907500003","2022-12-21","","01","영업/정상","5","영업개시전","","","","","02-2006-2364","248.78","","부산광역시 남구 용호동 958 빌리브센트로 A동 133~1호","부산광역시 남구 분포로 61, 빌리브센트로 A동 133~139호 (용호동)","48515","GS THE FRESH 용호빌리브점","2022-12-23 09:26:45","I","2022-12-25 00:40:55","그 밖의 대규모점포","392463.221261721","183403.499935071","준대규모점포",
"61","대규모점포","08_25_01_P","5690000","2022569029207500001","2022-11-22","","01","영업/정상","5","영업개시전","","","","","044-868-4981","250","","세종특별자치시 대평동 704 해들마을4단지","세종특별자치시 대평로 34, 제1상가동 1층 105~111호 (대평동, 해들마을4단지)","30153","GS THE FRESH 세종해들마을점","2022-11-22 10:43:14","I","2022-11-24 00:22:23","구분없음","225249.365054833","330129.16710604","준대규모점포",
"62","대규모점포","08_25_01_P","3740000","2021374039007500001","2021-05-25","","01","영업/정상","5","영업개시전","","","","","02-3404-4921","5855.48","","경기도 수원시 장안구 정자동 111-20","","","화서역 파크 푸르지오","2021-05-25 15:36:18","I","2021-05-27 00:22:55","그 밖의 대규모점포","","","대규모점포",
"63","대규모점포","08_25_01_P","3940000","2021394038807500001","2021-07-02","","01","영업/정상","5","영업개시전","","","","","031-901-6611","15789","","경기도 고양시 덕양구 삼송동 293","경기도 고양시 덕양구 삼송로 222, 고양삼송현대헤리엇 (삼송동)","10592","고양삼송현대헤리엇","2021-07-02 12:33:29","I","2021-07-04 00:22:53","그 밖의 대규모점포","191025.010600686","461186.001629362","대규모점포",
"64","대규모점포","08_25_01_P","5670000","2016567055907500001","2016-09-06","","01","영업/정상","5","영업개시전","","","","","055-266-8005","6365.43","","경상남도 창원시 의창구 서상동 666번지 5호","경상남도 창원시 의창구 평산로207번길 4 (서상동)","51370","킹덤시티","2018-04-02 11:46:35","I","2021-07-02 00:23:01","그 밖의 대규모점포","347886.71935506","196863.11405067","대규모점포",
"65","대규모점포","08_25_01_P","5670000","2020567056607500001","2020-03-02","","01","영업/정상","5","영업개시전","","","","","051-510-4646","208.25","","경상남도 창원시 의창구 중동 785번지 창원중동유니시티2단지","경상남도 창원시 의창구 중동로 33, 105~109호 (중동, 창원중동유니시티2단지)","51382","(주)지에스리테일 창원유니시티점","2020-03-03 11:37:47","I","2021-07-02 00:23:01","대형마트","347988.104340174","196439.124667683","준대규모점포",
"66","대규모점포","08_25_01_P","4080000","2017408020807500002","2017-11-13","","01","영업/정상","5","영업개시전","","","","","02-520-9557","7987.27","","경기도 안성시 원곡면 지문리 33번지 1호","경기도 안성시 원곡면 만세로 1260","17553","주식회사 락앤락","2017-11-13 18:03:00","I","2018-08-31 23:59:59","그 밖의 대규모점포","212484.621566391","393724.819512457","대규모점포",
"67","대규모점포","08_25_01_P","4680000","2000468002007500001","1997-02-19","","01","영업/정상","5","영업개시전","","","","","063 8407000","58","","전라북도 익산시 창인동1가 152번지 24호","전라북도 익산시 중앙로5길 17-4 (창인동1가)","54593","익산송원백화점","2016-03-09 13:49:19","I","2018-08-31 23:59:59","백화점","","","준대규모점포",
"68","대규모점포","08_25_01_P","4020000","2022402022707500001","2022-10-05","","01","영업/정상","5","영업개시전","","","","","02-2006-2678","347.54","","경기도 군포시 산본동 1099-2 대림프라자 111호","경기도 군포시 산본로 394, 대림프라자 1층 111호 (산본동)","15818","GS THE FRESH 산본대림본점","2022-10-05 13:56:39","I","2022-10-07 00:22:25","구분없음","193696.742392293","429245.936418065","준대규모점포",
"69","대규모점포","08_25_01_P","3140000","2022314016707500002","2022-10-04","","01","영업/정상","5","영업개시전","","","","","02-3459-8016","254.4","","서울특별시 양천구 신정동 86-1","서울특별시 양천구 목동동로 196(신정동)","08010","홈플러스 익스프레스 오목교점","2022-10-05 13:25:45","I","2022-10-07 00:22:25","구분없음","188565.074701959","446750.881633578","준대규모점포",
"70","대규모점포","08_25_01_P","4470000","2022447010207500001","2022-10-25","","01","영업/정상","5","영업개시전","","","","","043-882-8780","994.44","","충청북도 음성군 금왕읍 무극리 124-2","충청북도 음성군 금왕읍 무극로 329","27628","롯데프레시 음성금왕점","2022-10-26 10:46:21","I","2022-10-28 00:22:39","그 밖의 대규모점포","","","준대규모점포",
